iter	Passed	Remaining
316	347	747
317	348	746
318	349	745
319	350	744
320	351	742
321	352	741
322	353	740
323	354	739
324	355	738
325	356	736
326	357	735
327	358	733
328	359	733
329	360	732
330	361	730
331	362	729
332	363	727
333	364	726
334	365	725
335	366	724
336	367	723
337	368	721
338	369	720
339	370	718
340	371	717
341	372	716
342	373	715
343	374	714
344	375	712
345	376	711
346	377	710
347	378	709
348	379	708
349	380	707
350	381	705
351	382	704
352	383	703
353	384	702
354	385	700
355	386	699
356	387	698
357	388	696
358	389	695
359	391	695
360	392	695
361	395	696
362	397	697
363	398	696
364	399	695
365	400	694
366	402	694
367	404	694
368	405	693
369	406	692
370	408	691
371	409	692
372	411	691
373	413	691
374	414	690
375	415	690
376	417	689
377	418	688
378	419	687
379	420	686
380	422	685
381	423	684
382	424	684
383	425	683
384	427	683
385	429	682
386	430	681
387	431	680
388	432	679
389	434	679
390	435	677
391	436	676
392	437	676
393	449	691
394	450	690
395	451	689
396	452	687
397	454	686
398	455	685
399	456	684
400	457	682
401	458	681
402	458	679
403	459	678
404	460	677
405	462	675
406	463	674
407	464	673
408	464	671
409	465	670
410	467	669
411	468	668
412	468	666
413	469	665
414	470	663
415	471	662
416	472	660
417	473	659
418	474	658
419	475	656
420	476	655
421	477	653
422	478	652
423	480	652
424	481	651
425	482	650
426	483	649
427	485	648
428	486	648
429	488	647
430	489	645
431	490	644
432	491	643
433	492	642
434	493	641
435	494	640
436	495	638
437	496	637
438	498	636
439	498	635
440	499	633
441	500	632
442	501	630
443	502	629
444	503	627
445	504	626
446	505	625
447	506	624
448	507	622
449	508	621
450	509	620
451	510	619
452	512	618
453	513	617
454	514	616
455	515	614
456	516	613
457	517	612
458	518	611
459	519	610
460	521	609
461	521	607
462	524	607
463	525	606
464	526	606
465	527	604
466	529	603
467	530	602
468	531	601
469	532	600
470	533	599
471	534	597
472	540	601
473	541	600
474	542	599
475	543	598
476	544	596
477	545	595
478	546	594
479	547	592
480	549	592
481	550	591
482	551	590
483	552	588
484	553	587
485	554	586
486	555	585
487	556	584
488	557	583
489	558	581
490	560	580
491	561	579
492	562	578
493	563	577
494	564	575
495	565	574
496	566	573
497	567	572
498	568	570
499	569	569
500	570	568
501	571	566
502	572	565
503	573	564
504	574	563
505	576	562
506	577	561
507	578	559
508	579	558
509	580	557
510	581	556
511	582	555
512	583	553
513	584	552
514	585	551
515	586	550
516	588	549
517	589	548
518	590	547
519	591	546
520	593	545
521	594	544
522	595	543
523	596	541
524	597	540
525	598	539
526	599	538
527	600	537
528	602	536
529	603	535
530	604	534
531	606	533
532	607	532
533	608	530
534	609	529
535	610	528
536	611	527
537	612	526
538	613	525
539	614	523
540	616	522
541	617	521
542	618	520
543	620	519
544	621	518
545	622	517
546	624	516
547	625	516
548	626	515
549	627	513
550	628	512
551	629	511
552	630	510
553	641	516
554	641	514
555	643	513
556	644	512
557	645	511
558	647	510
559	648	509
560	649	508
561	650	506
562	651	505
563	652	504
564	653	503
565	654	502
566	656	501
567	657	499
568	658	498
569	659	497
570	660	496
571	662	495
572	663	494
573	664	493
574	665	492
575	667	491
576	668	490
577	669	488
578	670	487
579	671	486
580	674	486
581	675	485
582	676	483
583	677	482
584	678	481
585	680	480
586	682	480
587	683	478
588	684	477
589	685	476
590	686	475
591	687	473
592	688	472
593	689	471
594	690	470
595	692	469
596	693	468
597	694	466
598	695	465
599	696	464
600	697	463
601	698	461
602	700	460
603	701	459
604	702	458
605	703	457
606	705	456
607	706	455
608	707	454
609	708	452
610	709	451
611	710	450
612	711	449
613	713	448
614	714	447
615	715	446
616	717	445
617	718	443
618	719	442
619	720	441
620	721	440
621	721	438
622	724	438
623	725	436
624	727	436
625	728	435
626	729	434
627	731	433
628	732	431
629	733	430
630	734	429
631	734	427
632	736	426
633	737	425
634	738	424
635	739	423
636	740	422
637	741	420
638	743	419
639	743	418
640	745	417
641	745	415
642	746	414
643	748	413
644	749	412
645	750	411
646	751	410
647	752	408
648	753	407
649	754	406
650	755	405
651	756	404
652	757	402
653	758	401
654	759	400
655	760	399
656	761	397
657	762	396
658	763	395
659	764	393
660	765	392
661	767	391
662	768	390
663	769	389
664	771	388
665	772	387
666	773	386
667	775	385
668	776	384
669	777	382
670	779	382
671	780	381
672	781	379
673	782	378
674	783	377
675	785	376
676	786	375
677	787	373
678	788	372
679	789	371
680	789	370
681	791	368
682	792	367
683	793	366
684	794	365
685	795	364
686	797	363
687	798	362
688	799	360
689	800	359
690	801	358
691	802	357
692	803	355
693	804	354
694	805	353
695	806	352
696	807	350
697	808	349
698	809	348
699	810	347
700	811	346
701	812	344
702	813	343
703	814	342
704	815	341
705	816	340
706	818	339
707	819	337
708	820	336
709	821	335
710	822	334
711	823	333
712	824	331
713	825	330
714	826	329
715	827	328
716	828	326
717	829	325
718	830	324
719	831	323
720	832	322
721	833	321
722	835	319
723	836	318
724	837	317
725	838	316
726	838	315
727	839	313
728	841	312
729	842	311
730	843	310
731	844	309
732	845	307
733	846	306
734	847	305
735	848	304
736	849	303
737	850	302
738	851	300
739	852	299
740	853	298
741	855	297
742	856	296
743	857	294
744	858	293
745	859	292
746	860	291
747	861	290
748	862	288
749	863	287
750	864	286
751	865	285
752	866	284
753	867	283
754	868	281
755	869	280
756	870	279
757	871	278
758	872	277
759	873	275
760	874	274
761	875	273
762	876	272
763	877	271
764	879	270
765	880	268
766	881	267
767	882	266
768	883	265
769	884	264
770	885	262
771	886	261
772	887	260
773	888	259
774	889	258
775	890	256
776	891	255
777	892	254
778	893	253
779	894	252
780	895	251
781	896	249
782	897	248
783	898	247
784	899	246
785	900	245
786	901	243
787	902	242
788	903	241
789	905	240
790	905	239
791	906	238
792	907	236
793	908	235
794	910	234
795	911	233
796	912	232
797	913	231
798	914	229
799	915	228
800	916	227
801	917	226
802	918	225
803	919	224
804	919	222
805	920	221
806	921	220
807	922	219
808	923	218
809	924	216
810	925	215
811	926	214
812	927	213
813	928	212
814	930	211
815	931	209
816	932	208
817	932	207
818	933	206
819	935	205
820	936	204
821	937	203
822	938	201
823	939	200
824	940	199
825	941	198
826	942	197
827	943	196
828	944	194
829	945	193
830	946	192
831	947	191
832	949	190
833	950	189
834	950	187
835	951	186
836	953	185
837	955	184
838	956	183
839	957	182
840	958	181
841	959	180
842	961	179
843	963	178
844	964	176
845	966	175
846	967	174
847	968	173
848	969	172
849	970	171
850	971	170
851	972	168
852	973	167
853	974	166
854	976	165
855	976	164
856	978	163
857	979	162
858	980	160
859	981	159
860	982	158
861	983	157
862	984	156
863	986	155
864	987	154
865	988	152
866	989	151
867	991	150
868	992	149
869	993	148
870	994	147
871	995	146
872	996	144
873	997	143
874	998	142
875	999	141
876	1000	140
877	1001	139
878	1002	137
879	1004	136
880	1005	135
881	1006	134
882	1007	133
883	1008	132
884	1009	131
885	1010	129
886	1011	128
887	1012	127
888	1013	126
889	1014	125
890	1015	124
891	1016	123
892	1018	121
893	1019	120
894	1019	119
895	1020	118
896	1022	117
897	1023	116
898	1024	115
899	1025	113
900	1026	112
901	1029	111
902	1030	110
903	1031	109
904	1032	108
905	1033	107
906	1035	106
907	1036	104
908	1037	103
909	1038	102
910	1039	101
911	1040	100
912	1041	99
913	1042	98
914	1043	96
915	1044	95
916	1045	94
917	1047	93
918	1048	92
919	1049	91
920	1050	90
921	1051	88
922	1052	87
923	1053	86
924	1054	85
925	1055	84
926	1057	83
927	1057	82
928	1058	80
929	1060	79
930	1061	78
931	1063	77
932	1064	76
933	1065	75
934	1066	74
935	1067	73
936	1068	71
937	1069	70
938	1070	69
939	1071	68
940	1072	67
941	1073	66
942	1075	64
943	1076	63
944	1077	62
945	1078	61
946	1079	60
947	1080	59
948	1082	58
949	1083	57
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1088	51
955	1089	50
956	1091	49
957	1092	47
958	1093	46
959	1094	45
960	1095	44
961	1096	43
962	1097	42
963	1098	41
964	1099	39
965	1100	38
966	1101	37
967	1102	36
968	1103	35
969	1105	34
970	1106	33
971	1107	31
972	1108	30
973	1108	29
974	1110	28
975	1111	27
976	1112	26
977	1113	25
978	1114	23
979	1116	22
980	1117	21
981	1118	20
982	1119	19
983	1120	18
984	1121	17
985	1122	15
986	1123	14
987	1125	13
988	1126	12
989	1127	11
990	1128	10
991	1129	9
992	1130	7
993	1131	6
994	1132	5
995	1133	4
996	1133	3
997	1135	2
998	1136	1
999	1137	0
